DateRep,Countries and territories,Cases,Deaths
2020-03-26,Afghanistan,33,0
2020-03-25,Afghanistan,2,0
2020-03-24,Afghanistan,6,1
2020-03-23,Afghanistan,10,0
2020-03-22,Afghanistan,0,0
2020-03-21,Afghanistan,2,0
2020-03-20,Afghanistan,0,0
2020-03-19,Afghanistan,0,0
2020-03-18,Afghanistan,1,0
2020-03-17,Afghanistan,5,0
2020-03-16,Afghanistan,6,0
2020-03-15,Afghanistan,3,0
2020-03-11,Afghanistan,3,0
2020-03-08,Afghanistan,3,0
2020-03-02,Afghanistan,0,0
2020-03-01,Afghanistan,0,0
2020-02-29,Afghanistan,0,0
2020-02-28,Afghanistan,0,0
2020-02-27,Afghanistan,0,0
2020-02-26,Afghanistan,0,0
2020-02-25,Afghanistan,1,0
2020-02-24,Afghanistan,0,0
2020-02-23,Afghanistan,0,0
2020-02-22,Afghanistan,0,0
2020-02-21,Afghanistan,0,0
2020-02-20,Afghanistan,0,0
2020-02-19,Afghanistan,0,0
2020-02-18,Afghanistan,0,0
2020-02-17,Afghanistan,0,0
2020-02-16,Afghanistan,0,0
2020-02-15,Afghanistan,0,0
2020-02-14,Afghanistan,0,0
2020-02-13,Afghanistan,0,0
2020-02-12,Afghanistan,0,0
2020-02-11,Afghanistan,0,0
2020-02-10,Afghanistan,0,0
2020-02-09,Afghanistan,0,0
2020-02-08,Afghanistan,0,0
2020-02-07,Afghanistan,0,0
2020-02-06,Afghanistan,0,0
2020-02-05,Afghanistan,0,0
2020-02-04,Afghanistan,0,0
2020-02-03,Afghanistan,0,0
2020-02-02,Afghanistan,0,0
2020-02-01,Afghanistan,0,0
2020-01-31,Afghanistan,0,0
2020-01-30,Afghanistan,0,0
2020-01-29,Afghanistan,0,0
2020-01-28,Afghanistan,0,0
2020-01-27,Afghanistan,0,0
2020-01-26,Afghanistan,0,0
2020-01-25,Afghanistan,0,0
2020-01-24,Afghanistan,0,0
2020-01-23,Afghanistan,0,0
2020-01-22,Afghanistan,0,0
2020-01-21,Afghanistan,0,0
2020-01-20,Afghanistan,0,0
2020-01-19,Afghanistan,0,0
2020-01-18,Afghanistan,0,0
2020-01-17,Afghanistan,0,0
2020-01-16,Afghanistan,0,0
2020-01-15,Afghanistan,0,0
2020-01-14,Afghanistan,0,0
2020-01-13,Afghanistan,0,0
2020-01-12,Afghanistan,0,0
2020-01-11,Afghanistan,0,0
2020-01-10,Afghanistan,0,0
2020-01-09,Afghanistan,0,0
2020-01-08,Afghanistan,0,0
2020-01-07,Afghanistan,0,0
2020-01-06,Afghanistan,0,0
2020-01-05,Afghanistan,0,0
2020-01-04,Afghanistan,0,0
2020-01-03,Afghanistan,0,0
2020-01-02,Afghanistan,0,0
2020-01-01,Afghanistan,0,0
2019-12-31,Afghanistan,0,0
2020-03-26,Angola,0,0
2020-03-25,Angola,0,0
2020-03-24,Angola,0,0
2020-03-23,Angola,0,0
2020-03-22,Angola,2,0
2020-03-26,Albania,23,0
2020-03-25,Albania,23,1
2020-03-24,Albania,11,2
2020-03-23,Albania,13,0
2020-03-22,Albania,6,0
2020-03-21,Albania,0,0
2020-03-20,Albania,11,0
2020-03-19,Albania,4,1
2020-03-18,Albania,4,0
2020-03-17,Albania,9,0
2020-03-16,Albania,4,0
2020-03-15,Albania,5,0
2020-03-14,Albania,10,0
2020-03-13,Albania,12,0
2020-03-12,Albania,1,1
2020-03-11,Albania,4,0
2020-03-10,Albania,4,0
2020-03-09,Albania,2,0
2020-03-26,Andorra,24,0
2020-03-25,Andorra,31,0
2020-03-24,Andorra,20,0
2020-03-23,Andorra,25,0
2020-03-22,Andorra,13,0
2020-03-21,Andorra,0,0
2020-03-20,Andorra,22,0
2020-03-19,Andorra,39,0
2020-03-18,Andorra,0,0
2020-03-17,Andorra,9,0
2020-03-16,Andorra,3,0
2020-03-14,Andorra,1,0
2020-03-03,Andorra,1,0
2020-03-26,Argentina,115,2
2020-03-25,Argentina,86,2
2020-03-24,Argentina,35,0
2020-03-23,Argentina,41,0
2020-03-22,Argentina,67,1
2020-03-21,Argentina,30,0
2020-03-20,Argentina,31,1
2020-03-19,Argentina,18,0
2020-03-18,Argentina,14,0
2020-03-17,Argentina,9,0
2020-03-16,Argentina,11,0
2020-03-26,Antigua_and_Barbuda,0,0
2020-03-25,Antigua_and_Barbuda,2,0
2020-03-24,Antigua_and_Barbuda,0,0
2020-03-23,Antigua_and_Barbuda,0,0
2020-03-22,Antigua_and_Barbuda,0,0
2020-03-21,Antigua_and_Barbuda,0,0
2020-03-15,Antigua_and_Barbuda,1,0
2020-03-26,Algeria,33,0
2020-03-25,Algeria,42,0
2020-03-24,Algeria,87,2
2020-03-23,Algeria,8,5
2020-03-22,Algeria,0,0
2020-03-21,Algeria,12,3
2020-03-20,Algeria,9,1
2020-03-19,Algeria,13,1
2020-03-18,Algeria,0,1
2020-03-17,Algeria,12,0
2020-03-16,Algeria,11,2
2020-03-15,Algeria,11,0
2020-03-14,Algeria,2,1
2020-03-13,Algeria,4,1
2020-03-12,Algeria,0,0
2020-03-09,Algeria,3,0
2020-03-06,Algeria,5,0
2020-03-05,Algeria,7,0
2020-03-04,Algeria,2,0
2020-03-02,Algeria,2,0
2020-03-01,Algeria,0,0
2020-02-29,Algeria,0,0
2020-02-28,Algeria,0,0
2020-02-27,Algeria,0,0
2020-02-26,Algeria,1,0
2020-02-25,Algeria,0,0
2020-02-24,Algeria,0,0
2020-02-23,Algeria,0,0
2020-02-22,Algeria,0,0
2020-02-21,Algeria,0,0
2020-02-20,Algeria,0,0
2020-02-19,Algeria,0,0
2020-02-18,Algeria,0,0
2020-02-17,Algeria,0,0
2020-02-16,Algeria,0,0
2020-02-15,Algeria,0,0
2020-02-14,Algeria,0,0
2020-02-13,Algeria,0,0
2020-02-12,Algeria,0,0
2020-02-11,Algeria,0,0
2020-02-10,Algeria,0,0
2020-02-09,Algeria,0,0
2020-02-08,Algeria,0,0
2020-02-07,Algeria,0,0
2020-02-06,Algeria,0,0
2020-02-05,Algeria,0,0
2020-02-04,Algeria,0,0
2020-02-03,Algeria,0,0
2020-02-02,Algeria,0,0
2020-02-01,Algeria,0,0
2020-01-31,Algeria,0,0
2020-01-30,Algeria,0,0
2020-01-29,Algeria,0,0
2020-01-28,Algeria,0,0
2020-01-27,Algeria,0,0
2020-01-26,Algeria,0,0
2020-01-25,Algeria,0,0
2020-01-24,Algeria,0,0
2020-01-23,Algeria,0,0
2020-01-22,Algeria,0,0
2020-01-21,Algeria,0,0
2020-01-20,Algeria,0,0
2020-01-19,Algeria,0,0
2020-01-18,Algeria,0,0
2020-01-17,Algeria,0,0
2020-01-16,Algeria,0,0
2020-01-15,Algeria,0,0
2020-01-14,Algeria,0,0
2020-01-13,Algeria,0,0
2020-01-12,Algeria,0,0
2020-01-11,Algeria,0,0
2020-01-10,Algeria,0,0
2020-01-09,Algeria,0,0
2020-01-08,Algeria,0,0
2020-01-07,Algeria,0,0
2020-01-06,Algeria,0,0
2020-01-05,Algeria,0,0
2020-01-04,Algeria,0,0
2020-01-03,Algeria,0,0
2020-01-02,Algeria,0,0
2020-01-01,Algeria,0,0
2019-12-31,Algeria,0,0
2020-03-15,Argentina,11,0
2020-03-14,Argentina,3,1
2020-03-13,Argentina,12,0
2020-03-11,Argentina,7,0
2020-03-09,Argentina,3,0
2020-03-08,Argentina,1,1
2020-03-07,Argentina,6,0
2020-03-06,Argentina,1,0
2020-03-04,Argentina,1,0
2020-03-26,Armenia,25,0
2020-03-25,Armenia,71,0
2020-03-24,Armenia,4,0
2020-03-23,Armenia,30,0
2020-03-22,Armenia,24,0
2020-03-21,Armenia,14,0
2020-03-20,Armenia,7,0
2020-03-19,Armenia,37,0
2020-03-18,Armenia,26,0
2020-03-17,Armenia,22,0
2020-03-16,Armenia,10,0
2020-03-15,Armenia,7,0
2020-03-14,Armenia,7,0
2020-03-13,Armenia,2,0
2020-03-12,Armenia,3,0
2020-03-02,Armenia,0,0
2020-03-01,Armenia,1,0
2020-02-29,Armenia,0,0
2020-02-28,Armenia,0,0
2020-02-27,Armenia,0,0
2020-02-26,Armenia,0,0
2020-02-25,Armenia,0,0
2020-02-24,Armenia,0,0
2020-02-23,Armenia,0,0
2020-02-22,Armenia,0,0
2020-02-21,Armenia,0,0
2020-02-20,Armenia,0,0
2020-02-19,Armenia,0,0
2020-02-18,Armenia,0,0
2020-02-17,Armenia,0,0
2020-02-16,Armenia,0,0
2020-02-15,Armenia,0,0
2020-02-14,Armenia,0,0
2020-02-13,Armenia,0,0
2020-02-12,Armenia,0,0
2020-02-11,Armenia,0,0
2020-02-10,Armenia,0,0
2020-02-09,Armenia,0,0
2020-02-08,Armenia,0,0
2020-02-07,Armenia,0,0
2020-02-06,Armenia,0,0
2020-02-05,Armenia,0,0
2020-02-04,Armenia,0,0
2020-02-03,Armenia,0,0
2020-02-02,Armenia,0,0
2020-02-01,Armenia,0,0
2020-01-31,Armenia,0,0
2020-01-30,Armenia,0,0
2020-01-29,Armenia,0,0
2020-01-28,Armenia,0,0
2020-01-27,Armenia,0,0
2020-01-26,Armenia,0,0
2020-01-25,Armenia,0,0
2020-01-24,Armenia,0,0
2020-01-23,Armenia,0,0
2020-01-22,Armenia,0,0
2020-01-21,Armenia,0,0
2020-01-20,Armenia,0,0
2020-01-19,Armenia,0,0
2020-01-18,Armenia,0,0
2020-01-17,Armenia,0,0
2020-01-16,Armenia,0,0
2020-01-15,Armenia,0,0
2020-01-14,Armenia,0,0
2020-01-13,Armenia,0,0
2020-01-12,Armenia,0,0
2020-01-11,Armenia,0,0
2020-01-10,Armenia,0,0
2020-01-09,Armenia,0,0
2020-01-08,Armenia,0,0
2020-01-07,Armenia,0,0
2020-01-06,Armenia,0,0
2020-01-05,Armenia,0,0
2020-01-04,Armenia,0,0
2020-01-03,Armenia,0,0
2020-01-02,Armenia,0,0
2020-01-01,Armenia,0,0
2019-12-31,Armenia,0,0
2020-03-26,Aruba,2,0
2020-03-25,Aruba,5,0
2020-03-24,Aruba,8,0
2020-03-20,Aruba,2,0
2020-03-13,Aruba,2,0
2020-03-26,Australia,0,0
2020-03-25,Australia,600,1
2020-03-24,Australia,114,0
2020-03-23,Australia,611,0
2020-03-22,Australia,224,0
2020-03-21,Australia,165,1
2020-03-20,Australia,144,0
2020-03-19,Australia,111,1
2020-03-18,Australia,79,0
2020-03-17,Australia,77,0
2020-03-16,Australia,49,2
2020-03-15,Australia,52,0
2020-03-14,Australia,41,0
2020-03-13,Australia,30,0
2020-03-12,Australia,14,0
2020-03-11,Australia,12,0
2020-03-10,Australia,20,0
2020-03-09,Australia,6,0
2020-03-08,Australia,11,1
2020-03-07,Australia,4,0
2020-03-06,Australia,7,0
2020-03-05,Australia,11,1
2020-03-04,Australia,8,0
2020-03-03,Australia,4,0
2020-03-02,Australia,3,0
2020-03-01,Australia,1,1
2020-02-29,Australia,2,0
2020-02-28,Australia,0,0
2020-02-27,Australia,1,0
2020-02-26,Australia,0,0
2020-02-25,Australia,0,0
2020-02-24,Australia,0,0
2020-02-23,Australia,1,0
2020-02-22,Australia,4,0
2020-02-21,Australia,2,0
2020-02-20,Australia,0,0
2020-02-19,Australia,0,0
2020-02-18,Australia,0,0
2020-02-17,Australia,0,0
2020-02-16,Australia,0,0
2020-02-15,Australia,0,0
2020-02-14,Australia,1,0
2020-02-13,Australia,0,0
2020-02-12,Australia,0,0
2020-02-11,Australia,0,0
2020-02-10,Australia,0,0
2020-02-09,Australia,0,0
2020-02-08,Australia,0,0
2020-02-07,Australia,1,0
2020-02-06,Australia,1,0
2020-02-05,Australia,1,0
2020-02-04,Australia,0,0
2020-02-03,Australia,0,0
2020-02-02,Australia,2,0
2020-02-01,Australia,2,0
2020-01-31,Australia,1,0
2020-01-30,Australia,2,0
2020-01-29,Australia,0,0
2020-01-28,Australia,0,0
2020-01-27,Australia,0,0
2020-01-26,Australia,3,0
2020-01-25,Australia,1,0
2020-01-24,Australia,0,0
2020-01-23,Australia,0,0
2020-01-22,Australia,0,0
